timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:40:17.531306,16001,20851,56,47,7949,8042,6392,20490,9091,5257,0,0,820,71,0.730432998,0.03284002,27.3141396,37.39444915,0.933333333,0.733333333,0.466666667,0.366666667,0.233333333,0,0,0,0,
2023-07-12_17:40:18.555435,13925,39350,51,51,8086,1389,1701,2887,1044,717,0,0,800,71,0.783178221,0.033143671,27.50482786,35.11950043,0.933333333,0.733333333,0.433333333,0.333333333,0.2,0,0,0,0,
2023-07-12_17:40:19.583132,10112,30627,51,66,3547,3138,3012,1622,2748,776,0,0,822,72,0.741289032,0.031532609,26.20780206,35.35436373,0.933333333,0.733333333,0.4,0.3,0.166666667,0,0,0,0,
2023-07-12_17:40:20.607881,28854,156578,54,67,2606,5865,3785,3866,1614,996,0,0,850,71,0.734460505,0.030032681,25.02523171,34.07294406,0.966666667,0.766666667,0.4,0.3,0.166666667,0,0,0,0,
2023-07-12_17:40:21.633159,38460,39164,47,63,3726,7479,4684,12823,1903,1585,0,0,772,72,0.786565269,0.033049938,27.44246507,34.8889865,0.966666667,0.8,0.433333333,0.3,0.133333333,0,0,0,0,
2023-07-12_17:40:22.654305,10092,8140,61,57,6221,3541,5766,15257,5899,4276,0,0,836,73,0.723343698,0.031995764,26.61194385,36.7901786,0.966666667,0.8,0.433333333,0.333333333,0.166666667,0,0,0,0,
2023-07-12_17:40:23.677181,3717,72451,70,50,837,754,3100,1768,2019,763,0,0,872,72,0.73230969,0.032516926,27.11694837,37.02934531,0.966666667,0.833333333,0.466666667,0.333333333,0.166666667,0,0,0,0,
2023-07-12_17:40:24.702657,6724,46862,69,57,666,8182,5481,1481,1570,271,0,0,892,72,0.78836583,0.034755988,29.05137212,36.8501158,0.966666667,0.833333333,0.466666667,0.333333333,0.166666667,0,0,0,0,
2023-07-12_17:40:25.726018,24727,131011,63,75,20550,45074,6849,9774,3914,7818,0,0,846,72,0.763485528,0.03437142,28.7115927,37.6059423,0.966666667,0.833333333,0.5,0.366666667,0.166666667,0,0,0,0,
2023-07-12_17:40:26.747726,11383,19256,44,80,3789,3512,1751,1316,555,774,0,0,882,71,0.790281563,0.035739245,29.90421747,37.83995334,0.966666667,0.833333333,0.533333333,0.366666667,0.166666667,0,0,0,0,
2023-07-12_17:40:27.774026,9445,15324,44,93,17536,5836,2113,11553,5711,1581,0,0,790,71,0.782650429,0.037421901,31.30466774,39.99827582,0.933333333,0.8,0.533333333,0.366666667,0.2,0,0,0,0,
2023-07-12_17:40:28.795859,39180,50443,37,87,5428,4958,786,1746,2777,893,0,0,806,71,0.789707664,0.03701981,30.88192567,39.10551597,0.933333333,0.8,0.533333333,0.366666667,0.2,0,0,0,0,
2023-07-12_17:40:29.821068,5672,78579,51,77,1780,6635,4268,9398,4496,3096,0,0,822,71,0.79498672,0.037099285,30.9408037,38.91990006,0.933333333,0.766666667,0.5,0.333333333,0.2,0,0,0,0,
2023-07-12_17:40:30.846180,24038,135875,57,81,30526,13259,10423,9555,4244,3523,0,0,802,71,0.805772714,0.037528918,31.279102,38.81876546,0.9,0.7,0.5,0.333333333,0.2,0,0,0,0,
2023-07-12_17:40:31.872068,18456,77053,60,69,5414,3178,6715,11792,4055,1586,0,0,790,72,0.841658518,0.038745242,32.23862418,38.30368669,0.9,0.7,0.5,0.333333333,0.2,0,0,0,0,
2023-07-12_17:40:32.895529,11086,19196,69,80,13371,1945,2903,3220,1697,1866,0,0,864,72,0.824711729,0.038582056,32.09769808,38.91990006,0.9,0.7,0.5,0.366666667,0.233333333,0,0,0,0,
2023-07-12_17:40:33.920859,9144,16599,66,83,19583,5171,6917,15724,4909,1734,0,0,876,72,0.837799904,0.039081608,32.60708853,38.91990006,0.9,0.666666667,0.466666667,0.333333333,0.2,0,0,0,0,
2023-07-12_17:40:34.938435,11554,14229,75,81,4875,20466,4111,14222,10333,2524,0,0,830,73,0.761464593,0.042162001,35.08440616,46.07490154,0.9,0.7,0.533333333,0.4,0.266666667,0,0,0,1,100
2023-07-12_17:40:35.961927,20167,5144,75,87,11623,2881,2174,15775,5181,5188,0,0,830,73,0.775861654,0.041966415,34.89087751,44.97048841,0.866666667,0.7,0.533333333,0.4,0.266666667,0,0,0,1,
2023-07-12_17:40:36.986510,24097,78731,69,87,18401,8408,3332,3310,3019,1103,0,0,850,72,0.779431581,0.041383237,34.4777545,44.23448491,0.866666667,0.7,0.5,0.366666667,0.233333333,0,0,0,1,
2023-07-12_17:40:38.012941,7353,5853,67,87,12018,5693,8076,8220,5374,4740,0,0,746,73,0.791572117,0.045494446,37.75129137,47.6915376,0.866666667,0.7,0.5,0.366666667,0.266666667,0,0,0,1,
2023-07-12_17:40:39.032073,32211,14713,63,80,8319,6064,3790,8922,6966,4327,0,0,798,73,0.746470357,0.043713974,36.09025723,48.34787732,0.866666667,0.7,0.5,0.366666667,0.3,0,0,0,1,
2023-07-12_17:40:40.055307,42445,95247,48,78,8467,7546,2866,4817,1439,974,0,0,842,72,0.743066158,0.04325289,35.77590747,48.14632868,0.866666667,0.7,0.5,0.366666667,0.266666667,0,0,0,1,
2023-07-12_17:40:41.077914,3619,2146,64,74,3182,673,1467,3411,725,658,0,0,746,74,0.748578046,0.046641697,38.42343035,51.32855628,0.866666667,0.7,0.5,0.366666667,0.266666667,0,0,0,1,
2023-07-12_17:40:42.102728,13883,5944,70,54,359,2560,6044,13580,3359,2396,0,0,560,75,0.75253778,0.075682386,61.76187245,82.07145751,0.9,0.733333333,0.533333333,0.433333333,0.333333333,0,0,0,1,
2023-07-12_17:40:43.128188,15381,11169,70,60,24829,5463,15775,10157,6664,3637,0,0,560,80,0.939260042,0.095277881,76.99087969,81.96971686,0.866666667,0.7,0.533333333,0.433333333,0.333333333,0,0,0,1,
2023-07-12_17:40:44.151062,15551,15655,78,66,8910,9551,6074,6647,6578,2489,0,0,758,81,0.756590971,0.096926134,78.21292874,103.3754456,0.866666667,0.7,0.6,0.5,0.4,0,0,0,1,
2023-07-12_17:40:45.170798,2238,7614,90,56,188,1969,3418,10286,4364,1993,0,0,884,79,0.751225759,0.098138594,79.42683566,105.7296487,0.866666667,0.7,0.6,0.533333333,0.433333333,0,0,0,1,
